MODE  DROP  CORRUPT ROLE  ACKS_RECEIVED ACKS_SENT FRAMES_TRANS  DUP_RECEIVED  RETRANS TIME
GBN 0.00  0.00  Server  2 1 3 0 0 0.00

GBN 0.00  0.00  Client  1 2 3 0 0 0.01
GBN 0.00  0.00  Server  2 1 3 0 0 0.00

GBN 0.00  0.00  Client  1 2 3 0 0 0.01
GBN 0.00  0.00  Server  2 1 3 0 0 0.00

GBN 0.00  0.00  Client  1 2 3 0 0 0.01
GBN 0.00  0.00  Server  2 1 3 0 0 0.00

GBN 0.00  0.00  Client  1 2 3 0 0 0.01
GBN 0.00  0.00  Server  2 1 3 0 0 0.00

GBN 0.00  0.00  Client  1 1 3 0 0 0.01
GBN 0.00  0.00  Server  2 1 3 0 0 0.00


GBN 0.05  0.05  Client  2 2 4 0 1 0.31
GBN 0.05  0.05  Server  1 2 4 0 0 0.00

GBN 0.05  0.05  Client  1 1 3 0 0 0.00
GBN 0.05  0.05  Server  2 1 3 0 0 0.00

GBN 0.05  0.05  Client  1 2 3 0 0 0.01
GBN 0.05  0.05  Server  2 1 4 0 1 0.00

GBN 0.05  0.05  Client  1 2 4 0 0 0.60
GBN 0.05  0.05  Server  3 1 5 0 2 0.00

GBN 0.05  0.05  Client  1 2 3 0 0 0.01
GBN 0.05  0.05  Server  2 1 4 0 1 0.00

GBN 0.05  0.05  Client  1 2 3 0 0 0.01
GBN 0.05  0.05  Server  2 1 3 0 0 0.00

GBN 0.05  0.05  Client  1 2 3 0 0 0.01
GBN 0.05  0.05  Server  2 1 3 0 0 0.00

GBN 0.05  0.05  Client  1 3 4 0 0 0.61
GBN 0.05  0.05  Server  3 1 5 0 2 0.00

GBN 0.05  0.05  Client  1 2 3 0 0 0.01
GBN 0.05  0.05  Server  2 1 4 0 1 0.00

GBN 0.05  0.05  Client  3 2 18  0 15  4.56
GBN 0.05  0.05  Server  4 1 6 0 3 0.00


GBN 0.20  0.05  Client  0 2 3 0 0 0.01
GBN 0.20  0.05  Server  2 1 4 0 1 0.00

GBN 0.20  0.05  Client  1 2 5 0 1 0.91
GBN 0.20  0.05  Server  3 1 5 0 2 0.00

